127.0.0.1 - - [18/Feb/2018:12:53:11 +0100] "POST /tomee-rest-arquillian-1.0-SNAPSHOT/color/blue HTTP/1.1" 204 -
127.0.0.1 - - [18/Feb/2018:12:54:20 +0100] "POST /tomee-rest-arquillian-1.0-SNAPSHOT/color/orange HTTP/1.1" 204 -
127.0.0.1 - - [18/Feb/2018:12:54:28 +0100] "POST /tomee-rest-arquillian-1.0-SNAPSHOT/color/green HTTP/1.1" 204 -
127.0.0.1 - - [18/Feb/2018:12:56:40 +0100] "POST /tomee-rest-arquillian-1.0-SNAPSHOT/color/green HTTP/1.1" 204 -
127.0.0.1 - - [18/Feb/2018:12:56:41 +0100] "POST /tomee-rest-arquillian-1.0-SNAPSHOT/color/green HTTP/1.1" 204 -
127.0.0.1 - - [18/Feb/2018:12:56:41 +0100] "POST /tomee-rest-arquillian-1.0-SNAPSHOT/color/green HTTP/1.1" 204 -
127.0.0.1 - - [18/Feb/2018:12:56:42 +0100] "POST /tomee-rest-arquillian-1.0-SNAPSHOT/color/green HTTP/1.1" 204 -
127.0.0.1 - - [18/Feb/2018:12:56:42 +0100] "POST /tomee-rest-arquillian-1.0-SNAPSHOT/color/green HTTP/1.1" 204 -
127.0.0.1 - - [18/Feb/2018:12:56:42 +0100] "POST /tomee-rest-arquillian-1.0-SNAPSHOT/color/green HTTP/1.1" 204 -
127.0.0.1 - - [18/Feb/2018:12:56:42 +0100] "POST /tomee-rest-arquillian-1.0-SNAPSHOT/color/green HTTP/1.1" 204 -
127.0.0.1 - - [18/Feb/2018:12:56:42 +0100] "POST /tomee-rest-arquillian-1.0-SNAPSHOT/color/green HTTP/1.1" 204 -
127.0.0.1 - - [18/Feb/2018:12:56:43 +0100] "POST /tomee-rest-arquillian-1.0-SNAPSHOT/color/green HTTP/1.1" 204 -
127.0.0.1 - - [18/Feb/2018:12:56:43 +0100] "POST /tomee-rest-arquillian-1.0-SNAPSHOT/color/green HTTP/1.1" 204 -
127.0.0.1 - - [18/Feb/2018:12:56:43 +0100] "POST /tomee-rest-arquillian-1.0-SNAPSHOT/color/green HTTP/1.1" 204 -
127.0.0.1 - - [18/Feb/2018:12:56:45 +0100] "POST /tomee-rest-arquillian-1.0-SNAPSHOT/color/green HTTP/1.1" 204 -
127.0.0.1 - - [18/Feb/2018:12:56:46 +0100] "POST /tomee-rest-arquillian-1.0-SNAPSHOT/color/green HTTP/1.1" 204 -
127.0.0.1 - - [18/Feb/2018:12:56:46 +0100] "POST /tomee-rest-arquillian-1.0-SNAPSHOT/color/green HTTP/1.1" 204 -
127.0.0.1 - - [18/Feb/2018:12:56:46 +0100] "POST /tomee-rest-arquillian-1.0-SNAPSHOT/color/green HTTP/1.1" 204 -
127.0.0.1 - - [18/Feb/2018:12:56:46 +0100] "POST /tomee-rest-arquillian-1.0-SNAPSHOT/color/green HTTP/1.1" 204 -
127.0.0.1 - - [18/Feb/2018:12:56:47 +0100] "POST /tomee-rest-arquillian-1.0-SNAPSHOT/color/green HTTP/1.1" 204 -
127.0.0.1 - - [18/Feb/2018:12:56:47 +0100] "POST /tomee-rest-arquillian-1.0-SNAPSHOT/color/green HTTP/1.1" 204 -
127.0.0.1 - - [18/Feb/2018:12:56:47 +0100] "POST /tomee-rest-arquillian-1.0-SNAPSHOT/color/green HTTP/1.1" 204 -
127.0.0.1 - - [18/Feb/2018:12:56:47 +0100] "POST /tomee-rest-arquillian-1.0-SNAPSHOT/color/green HTTP/1.1" 204 -
127.0.0.1 - - [18/Feb/2018:12:56:47 +0100] "POST /tomee-rest-arquillian-1.0-SNAPSHOT/color/green HTTP/1.1" 204 -
